name, latitude, longitude, elevation, time, comment, symbol, description
BP72, -45.465655, 167.152183, 0.0, 2021-06-24 03:04:19+00:00
BP73, -45.465649, 167.15189, 0.0, 2021-06-24 03:04:19+00:00
BP74, -45.465441, 167.151515, 0.0, 2021-06-24 03:04:19+00:00
BP75, -45.465071, 167.151157, 0.0, 2021-06-24 03:04:19+00:00
BP76, -45.465212, 167.150925, 0.0, 2021-06-24 03:04:19+00:00
BP76.6, -45.465067, 167.150722, 0.0, 2021-06-24 03:04:19+00:00
BP77, -45.465063, 167.150288, 0.0, 2021-06-24 03:04:19+00:00
BP78, -45.464921, 167.150162, 0.0, 2021-06-24 03:04:19+00:00
BP78.6, -45.465067, 167.149507, 0.0, 2021-06-24 03:04:19+00:00
BP79, -45.465019, 167.149614, 0.0, 2021-06-24 03:04:19+00:00
BP80, -45.464875, 167.149258, 0.0, 2021-06-24 03:04:19+00:00
BP81, -45.464812, 167.148919, 0.0, 2021-06-24 03:04:19+00:00
BP82, -45.464562, 167.148945, 0.0, 2021-06-24 03:04:19+00:00
BP83, -45.464266, 167.148797, 0.0, 2021-06-24 03:04:19+00:00
BP84, -45.464011, 167.148734, 0.0, 2021-06-24 03:04:19+00:00
BP85, -45.463767, 167.148375, 0.0, 2021-06-24 03:04:19+00:00
BPA01, -45.463721, 167.154303, 0.0, 2021-06-24 03:04:20+00:00
BPA02, -45.463513, 167.153583, 0.0, 2021-06-24 03:04:20+00:00
BPA03, -45.464025, 167.153222, 0.0, 2021-06-24 03:04:20+00:00
BPA05, -45.464019, 167.153632, 0.0, 2021-06-24 03:04:20+00:00
BPT05, -45.465808, 167.158321, 0.0, 2021-06-24 03:04:20+00:00
BPT06, -45.466616, 167.1588, 0.0, 2021-06-24 03:04:20+00:00
BPT07, -45.467709, 167.159749, 0.0, 2021-06-24 03:04:20+00:00
BPT08, -45.464889, 167.158122, 0.0, 2021-06-24 03:04:20+00:00
BPT09, -45.468212, 167.159901, 0.0, 2021-06-24 03:04:20+00:00
BPT10, -45.469327, 167.160413, 0.0, 2021-06-24 03:04:20+00:00
CAMERA_1, -45.773514, 166.598425, 0.0, 2021-05-26 21:20:10+00:00
CAMERA_10, -45.779113, 166.588493, 0.0, 2021-05-26 21:20:10+00:00
