geometry,Area,Line,Tag No,Trap 1,Trap 2,Date Checked,Baited With,Baited On,Status,Record Comment,Comment,User ID,Trap No,Trap Type
"X: 1204732.3037, Y: 5031319.9598, Z: NaN",Hollyford,AC_Possum,P26,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,26,Trapinator
"X: 1204788.6054, Y: 5031266.1098, Z: NaN",Hollyford,AC_Possum,P27,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,27,Trapinator
"X: 1204760.113, Y: 5030874.5289, Z: NaN",Hollyford,AC_Possum,P28,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,28,Trapinator
"X: 1204552.598, Y: 5030677.5443, Z: NaN",Hollyford,AC_Possum,P29,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,29,Trapinator
"X: 1204544.3824, Y: 5030631.6549, Z: NaN",Hollyford,AC_Possum,P30,Sprung and Empty,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,30,Trapinator
"X: 1204575.8284, Y: 5031178.8617, Z: NaN",Hollyford,AC_Possum,P31,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,31,Trapinator
"X: 1204584.5632, Y: 5031166.0186, Z: NaN",Hollyford,AC_Possum,P32,Still Set,N/A,2021-03-27T23:00:00.0000000,Blaze Aniseed,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,32,Trapinator
"X: 1205003.8672, Y: 5031531.3554, Z: NaN",Hollyford,Alpine Club,AC01,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Maintenance required not functioning,,N/A,Southland Tramping Club,1,DOC 200 Single
"X: 1204945.9345, Y: 5031455.4252, Z: NaN",Hollyford,Alpine Club,AC02,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,2,DOC 200 Single
"X: 1204855.0509, Y: 5031395.2237, Z: NaN",Hollyford,Alpine Club,AC03,Sprung and Empty,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,3,DOC 200 Single
"X: 1204789.0748, Y: 5031351.4413, Z: NaN",Hollyford,Alpine Club,AC04,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,4,DOC 200 Single
"X: 1204787.6273, Y: 5031263.931, Z: NaN",Hollyford,Alpine Club,AC05,Still Set,N/A,2021-03-27T23:00:00.0000000,Erayz / Egg,2021-03-27T23:00:00.0000000,Open,,N/A,Southland Tramping Club,5,DOC 200 Single
