name,lat,lon,ele,time,cmt,sym,desc
AC01-MISSING,-44.76208494,168.00908495,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Navaid Black,Gertrude Line
AC02,-44.76273391,168.00829697,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Gertrude Line
AC03,-44.76322365,168.00710639,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Gertrude Line
AC04,-44.76357987,168.00624202,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Gertrude Line
AC05,-44.76436384,168.00615602,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Gertrude Line
AC06,-44.76554179,168.00505005,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Gertrude Line
AC07,-44.76676673,168.00442006,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Gertrude Line
AC08-MISSING,-44.76748370,168.00421407,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Navaid Black,Gertrude Line
AC09,-44.76849966,168.00468905,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Gertrude Line
AC10,-44.76909863,168.00378407,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Gertrude Line
AC11,-44.76902764,168.00332008,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Gertrude Line
AC12,-44.76876065,168.00183913,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Homer Line
AC13,-44.76812067,168.00168213,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Homer Line
AC14,-44.76814767,168.00080716,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Homer Line
AC15,-44.76947262,168.00209912,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Homer Line
AC16,-44.76591476,167.99737327,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Homer Line
AC17,-44.77096055,168.00246310,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Homer Line
AC18-?MISSING?,-44.78275595,168.01302392,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Navaid Black,Gertrude Line
AC21,-44.76142597,168.00970994,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Gertrude Line
AC22,-44.76109498,168.01071691,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Gertrude Line
AC23,-44.76079600,168.01229086,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Gertrude Line
AC24,-44.76025291,168.01361778,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Gertrude Line
AC25,-44.75910281,168.01479414,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Gertrude Line
AC26,-44.75811811,168.01555978,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Gertrude Line
AC27,-44.75896171,168.01456703,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Gertrude Line
AC28,-44.75401329,168.01766574,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Gertrude Line
AC29,-44.75362231,168.01735075,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Gertrude Line
AC30,-44.75227337,168.01819473,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Gertrude Line
AC31,-44.76521178,167.98900052,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Homer Line
AC32,-44.76472580,167.98870953,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Homer Line
AC33,-44.76426482,167.98811755,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Homer Line
AC34,-44.76352985,167.98768957,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Homer Line
AC35,-44.76298288,167.98777757,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Homer Line
AC36,-44.76243790,167.98803356,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Homer Line
AC37,-44.76208791,167.98754158,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Homer Line
AC38,-44.76125095,167.98642261,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Homer Line
AC39,-44.76109796,167.98611762,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Homer Line
AC40,-44.76091696,167.98556464,8848,2021-03-27T23:00:00.0000000,DOC 150 Double,Pin Red,Homer Line
AC41,-44.76068997,167.98486766,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Homer Line
AC42,-44.76058297,167.98379769,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Homer Line
AC43,-44.76078797,167.98381669,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Homer Line
AC60,-44.75120724,168.01770508,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Gertrude Line
AC61,-44.75128741,168.01946470,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Gertrude Line
AC62,-44.75174039,168.02113165,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Gertrude Line
AC70,-44.76404184,167.99151545,8848,2021-03-27T23:00:00.0000000,DOC 200 Double,Pin Red,Homer Line
AC71,-44.76442982,167.99232642,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Homer Line
AC72,-44.76589176,167.99374638,8848,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,Homer Line
AC73,-44.76473881,167.99580832,8848,2020-11-19T20:42:10.0000000,A24,Pin Blue,Goodnature Line
AC74,-44.76512780,167.99631830,8848,2020-11-19T20:42:10.0000000,A24,Pin Blue,Goodnature Line
AC75,-44.76624575,167.99837224,8848,2020-10-21T23:00:00.0000000,A24,Pin Blue,Goodnature Line
AC76,-44.76683873,168.00008918,8848,2021-03-27T23:00:00.0000000,A24,Pin Blue,Goodnature Line
