name,lat,lon,ele,time,cmt,sym,desc
AC81,-44.76785104,168.00531199,0,2021-03-27T23:00:00.0000000,DOC 200 Double,Pin Red,Alpine Club
AC82,-44.76683404,168.00686999,0,2021-03-27T23:00:00.0000000,DOC 200 Double,Pin Red,Alpine Club
AC83,-44.76617305,168.00719399,0,2021-03-27T23:00:00.0000000,A24,Pin Blue,Alpine Club
AC84,-44.76680804,168.00612899,0,2021-03-27T23:00:00.0000000,A24,Pin Blue,Alpine Club
AC85,-44.76702404,168.00549299,0,2021-03-27T23:00:00.0000000,A24,Pin Blue,Alpine Club
AC86,-44.78112904,168.01304799,0,2021-03-27T23:00:00.0000000,A24,Pin Blue,Alpine Club
AC87,-44.76727513,168.00274344,0,2021-03-27T23:00:00.0000000,DOC 200 Double,Pin Red,Alpine Club
B01,-44.64620804,167.93449399,0,2019-03-29T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B02,-44.64738604,167.93525599,0,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B03,-44.64820305,167.93577298,0,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B04,-44.64888156,167.93630215,0,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B05,-44.65012904,167.93575698,0,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B06,-44.65137004,167.93615299,0,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B07,-44.65215271,167.93648392,0,2017-02-22T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B08,-44.65638605,167.93518799,0,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B09,-44.65642632,167.93486446,0,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B10,-44.65653704,167.93446998,0,2020-10-21T23:00:00.0000000,DOC 200 Single,Pin Red,Bowen
B11,-44.65673869,167.93414789,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B12,-44.65691804,167.93369099,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B13,-44.65560792,167.93567757,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B14,-44.65464598,167.93616820,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B15,-44.65347453,167.93654317,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B16,-44.65266504,167.93646498,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B17,-44.65157404,167.93633599,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B18,-44.65043804,167.93594798,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B19,-44.64938504,167.93576499,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B20,-44.64851904,167.93599198,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B21,-44.64772404,167.93531798,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B22,-44.64603104,167.93454499,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B23,-44.65840004,167.93363298,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
B24,-44.65881604,167.93376499,0,2020-10-21T23:00:00.0000000,A24,Pin Blue,Bowen
BAC01,-44.64639876,167.93483384,0,2020-10-21T23:00:00.0000000,DOC 150 Double,Pin Red,Bowen
BAC01A,-44.64658547,167.93480860,0,2017-02-22T23:00:00.0000000,A24,Pin Blue,Bowen
BAC02A,-44.64751070,167.93526171,0,2017-02-22T23:00:00.0000000,A24,Pin Blue,Bowen
BAC03A,-44.64837361,167.93592045,0,2017-02-22T23:00:00.0000000,A24,Pin Blue,Bowen
BAC04A,-44.64913276,167.93638807,0,2017-02-22T23:00:00.0000000,A24,Pin Blue,Bowen
BAC05A,-44.65022720,167.93582547,0,2017-02-22T23:00:00.0000000,A24,Pin Blue,Bowen
BAC06A,-44.65133041,167.93599615,0,2017-02-22T23:00:00.0000000,A24,Pin Blue,Bowen
BAC07A,-44.65235350,167.93650750,0,2017-02-22T23:00:00.0000000,A24,Pin Blue,Bowen
BAC08A,-44.65347453,167.93654317,0,2017-02-22T23:00:00.0000000,A24,Pin Blue,Bowen
BAC09A,-44.65587102,167.93526626,0,2017-02-22T23:00:00.0000000,A24,Pin Blue,Bowen
BAC10A,-44.65651620,167.93424223,0,2017-02-22T23:00:00.0000000,A24,Pin Blue,Bowen
C01,-44.76853104,168.00216299,0,2019-05-06T00:00:00.0000000,Live Cat Trap,Navaid Blue,AC_Cat
C02,-44.76414504,167.99737599,0,2019-05-06T00:00:00.0000000,Live Cat Trap,Navaid Blue,AC_Cat
C03,-44.76737304,168.00239499,0,2019-05-06T00:00:00.0000000,Live Cat Trap,Navaid Blue,AC_Cat
C04,-44.76602004,168.00548499,0,2019-05-06T00:00:00.0000000,Live Cat Trap,Navaid Blue,AC_Cat
C05,-44.76778705,168.00214899,0,2019-05-06T00:00:00.0000000,Live Cat Trap,Navaid Blue,AC_Cat
C06,-44.76528204,168.00022299,0,2019-05-06T00:00:00.0000000,Live Cat Trap,Navaid Blue,AC_Cat
CD76,-44.76519904,168.00014499,0,2020-05-17T00:00:00.0000000,A24,Pin Blue,Alpine Club
CD76,-44.76519904,168.00014499,0,2019-05-06T00:00:00.0000000,A24,Pin Blue,Alpine Club
CD76,-44.76519904,168.00014499,0,2019-03-27T23:00:00.0000000,A24,Pin Blue,Alpine Club
CD76,-44.76519904,168.00014499,0,2019-02-16T23:00:00.0000000,A24,Pin Blue,Alpine Club
CD77,-44.76605504,168.00021399,0,2020-05-17T00:00:00.0000000,A24,Pin Blue,Alpine Club
CD77,-44.76605504,168.00021399,0,2019-05-06T00:00:00.0000000,A24,Pin Blue,Alpine Club
CD77,-44.76605504,168.00021399,0,2019-03-27T23:00:00.0000000,A24,Pin Blue,Alpine Club
CD77,-44.76605504,168.00021399,0,2019-02-16T23:00:00.0000000,A24,Pin Blue,Alpine Club
Hcat04,-44.76723257,168.00180553,0,2017-04-01T01:17:24.0000000,Live Cat Trap,Navaid Blue,Alpine Club
Hcat05,-44.76713496,168.00260837,0,2017-04-01T01:17:27.0000000,Live Cat Trap,Navaid Blue,Alpine Club
Hcat06,-44.76738195,168.00346047,0,2017-04-01T01:17:27.0000000,Live Cat Trap,Navaid Blue,Alpine Club
Hcat07,-44.76854820,168.00226491,0,2017-04-01T01:17:10.0000000,Live Cat Trap,Navaid Blue,Alpine Club
P01,-44.76712805,168.00205499,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P02,-44.76700656,168.00218898,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P03,-44.76386105,168.00510299,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P04,-44.76513104,168.00456599,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
P05,-44.76683004,168.00481199,0,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,AC_Possum
