name,latitude,longitude,elevation,time,comment,symbol,description
C01,-44.77017059,168.00210711,,2019-05-06T00:00:00.0000000,Live Cat Trap,,Cat Line
C02,-44.76578477,167.99732027,,2019-05-06T00:00:00.0000000,Live Cat Trap,,Cat Line
C02,-44.76578477,167.99732027,,2019-03-27T23:00:00.0000000,Live Cat Trap,,Cat Line
C03,-44.76901264,168.00233911,,2019-05-06T00:00:00.0000000,Live Cat Trap,,Cat Line
C04,-44.76765970,168.00542903,,2019-05-06T00:00:00.0000000,Live Cat Trap,,Cat Line
C05,-44.76942662,168.00209312,,2019-05-06T00:00:00.0000000,Live Cat Trap,,Cat Line
C06,-44.76692172,168.00016718,,2019-05-06T00:00:00.0000000,Live Cat Trap,,Cat Line
