name,latitude,longitude,elevation,time,comment,symbol,description
AC72,-44.76589176,167.99374638,blah,2021-03-27T23:00:00.0000000,DOC 200 Single,Pin Red,blah
AC72,-44.76589176,167.99374638,blah,2021-02-18T11:05:32.0000000,DOC 200 Single,Pin Red,blah
AC73,-44.76473881,167.99580832,blah,2020-11-19T20:42:10.0000000,A24,Pin Blue,blah
AC74,-44.76512780,167.99631830,blah,2020-11-19T20:42:10.0000000,A24,Pin Blue,blah
AC75,-44.76624575,167.99837224,blah,2020-10-21T23:00:00.0000000,A24,Pin Blue,blah
AC76,-44.76683873,168.00008918,blah,2021-03-27T23:00:00.0000000,A24,Pin Blue,blah
AC77,-44.76769469,168.00015818,blah,2021-03-27T23:00:00.0000000,A24,Pin Blue,blah
AC80,-44.76790669,168.00524203,blah,2021-03-27T23:00:00.0000000,A24,Pin Blue,blah
AC81,-44.76949062,168.00525603,blah,2021-03-27T23:00:00.0000000,DOC 200 Double,Pin Red,blah
AC81,-44.76949062,168.00525603,blah,2021-02-18T11:05:32.0000000,DOC 200 Double,Pin Red,blah
AC82,-44.76847366,168.00681399,blah,2021-03-27T23:00:00.0000000,DOC 200 Double,Pin Red,blah
AC83,-44.76781269,168.00713798,blah,2021-03-27T23:00:00.0000000,A24,Pin Blue,blah
AC84,-44.76844766,168.00607301,blah,2021-03-27T23:00:00.0000000,A24,Pin Blue,blah
AC85,-44.76866365,168.00543703,blah,2021-03-27T23:00:00.0000000,A24,Pin Blue,blah
AC86,-44.78276806,168.01299175,blah,2021-03-27T23:00:00.0000000,A24,Pin Blue,blah
AC87,-44.76891472,168.00268756,blah,2021-03-27T23:00:00.0000000,DOC 200 Double,Pin Red,blah
CD76,-44.76683873,168.00008918,blah,2020-05-17T00:00:00.0000000,A24,Pin Blue,blah
CD77,-44.76769469,168.00015818,blah,2020-05-17T00:00:00.0000000,A24,Pin Blue,blah
P01,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P02,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P03,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P04,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P05,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P06,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P07,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P08,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P09,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P10,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P11,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P12,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P13,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P14,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P15,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P16,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P17,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P18,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P19,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P20,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P21,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P22,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P23,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
P24,-44.76876765,168.00199912,blah,2021-03-27T23:00:00.0000000,Trapinator,Pin Green,Possum Line
