name,name-new," latitude"," longitude"," elevation"," time"," comment"," symbol"," description"," latitude-new"," longitude-new"," time-new",name," Type-template",Comment-template
DCR04,DCR04,-45.4563073428053,167.15074458635," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.456309,167.150735,"2021-06-24 03:10:23+00:00",DCR04,"DOC200 Single",""
DCR05,DCR05,-45.4558995173498,167.150708872571," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.455902,167.150701,"2021-06-24 03:10:24+00:00",DCR05,"DOC200 Single",""
DCR06,DCR06,-45.4558818408807,167.15017221164," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.455883,167.150166,"2021-06-24 03:10:23+00:00",DCR06,"DOC200 Single",""
DCR07,DCR07,-45.4563080287932,167.150039733953," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.456309,167.150032,"2021-06-24 03:10:23+00:00",DCR07,"DOC200 Single",""
DCR08,DCR08,-45.4563881917209,167.149480125565," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.456397,167.149473,"2021-06-24 03:10:24+00:00",DCR08,"DOC200 Single",""
DCR09,DCR09,-45.4567354855435,167.14921384758," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.456743,167.149207,"2021-06-24 03:10:23+00:00",DCR09,"DOC200 Single",""
DCR10,DCR10,-45.4571295771559,167.148982361801," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.457136,167.148974,"2021-06-24 03:10:23+00:00",DCR10,"DOC200 Single",""
DCR11,DCR11,-45.4575109264877,167.148853245639," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.457517,167.148845,"2021-06-24 03:10:24+00:00",DCR11,"DOC200 Single",""
DCR12,DCR12,-45.4579052194298,167.148800811061," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.45791,167.148791,"2021-06-24 03:10:23+00:00",DCR12,"DOC200 Single",""
DCR13,DCR13,-45.4582918396344,167.14858160446," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.458295,167.148572,"2021-06-24 03:10:23+00:00",DCR13,"DOC200 Single",""
DCR14,DCR14,-45.4586885072145,167.148592877673," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.458692,167.148582,"2021-06-24 03:10:24+00:00",DCR14,"DOC200 Single",""
DCR15,DCR15,-45.4592507579502,167.148638130326," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.459252,167.148626,"2021-06-24 03:10:24+00:00",DCR15,"DOC200 Single",""
DCR16,DCR16,-45.4594527994375,167.149066146652," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.459454,167.149053,"2021-06-24 03:10:24+00:00",DCR16,"DOC200 Single",""
DCR17,DCR17,-45.459832147269,167.149090732909," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.459833,167.149078,"2021-06-24 03:10:24+00:00",DCR17,"DOC200 Single",""
DCR18,DCR18,-45.4601580929747,167.149635093364," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.460159,167.149632,"2021-06-24 03:10:24+00:00",DCR18,"DOC200 Single",""
DCR19,DCR19,-45.4604545034388,167.149797488863," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.460455,167.149794,"2021-06-24 03:10:24+00:00",DCR19,"DOC200 Single",""
DCR20,DCR20,-45.4608332375992,167.149617471814," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.460842,167.149613,"2021-06-24 03:10:24+00:00",DCR20,"DOC200 Single",""
DCR21,DCR21,-45.4613216511355,167.149644813357," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.461329,167.149639,"2021-06-24 03:10:24+00:00",DCR21,"DOC200 Single",""
DCR22,DCR22,-45.461642550038,167.149740709334," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.461649,167.149734,"2021-06-24 03:10:24+00:00",DCR22,"DOC200 Single",""
DCR23,DCR23,-45.4620976971061,167.149821394095," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.462104,167.149814,"2021-06-24 03:10:24+00:00",DCR23,"DOC200 Single",""
DCR24,DCR24,-45.4626806834413,167.149762167119," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.462686,167.149754,"2021-06-24 03:10:24+00:00",DCR24,"DOC200 Single",""
DCR25,DCR25,-45.4630904707673,167.149836047274," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.463094,167.149827,"2021-06-24 03:10:24+00:00",DCR25,"DOC200 Single",""
DCR26,DCR26,-45.4633316366019,167.150132109963," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.463335,167.150122,"2021-06-24 03:10:24+00:00",DCR26,"DOC200 Single",""
DCR27,DCR27,-45.463667987926,167.150546223052," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.463671,167.150534,"2021-06-24 03:10:24+00:00",DCR27,"DOC200 Single",""
DCR28,DCR28,-45.4640240185282,167.151343359339," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.464028,167.151342,"2021-06-24 03:10:24+00:00",,,
DCR29,DCR29,-45.4643287352706,167.152017901625," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.464332,167.152014,"2021-06-24 03:10:24+00:00",DCR29,"DOC200 Single",""
DCR30,DCR30,-45.4640901505726,167.152490400946," None"," None","DOC200 Single"," Navaid Red"," NEW",-45.464095,167.152486,"2021-06-24 03:10:24+00:00",DCR30,"DOC200 Single",""
DCRA01,DCRA01,-45.4574311256136,167.150846420899," None"," None",A24," Navaid Blue"," NEW",-45.457439,167.150836,"2021-06-24 03:10:23+00:00",DCRA01,A24,""
DCRA02,DCRA02,-45.4570094311533,167.150751414472," None"," None",A24," Navaid Blue"," NEW",-45.457011,167.150739,"2021-06-24 03:10:24+00:00",DCRA02,A24,""
DCRA03,DCRA03,-45.4566743199553,167.150440982702," None"," None",A24," Navaid Blue"," NEW",-45.45668,167.150428,"2021-06-24 03:10:23+00:00",DCRA03,A24,""
DCRA04,DCRA04,-45.4563038372896,167.150740011454," None"," None",A24," Navaid Blue"," NEW",-45.456309,167.150735,"2021-06-24 03:10:23+00:00",DCRA04,A24,""
DCRA05,DCRA05,-45.4558969291642,167.150701004825," None"," None",A24," Navaid Blue"," NEW",-45.455901,167.150688,"2021-06-24 03:10:23+00:00",,,
DCRA06,DCRA06,-45.4558743349165,167.150168636425," None"," None",A24," Navaid Blue"," NEW",-45.455874,167.150167,"2021-06-24 03:10:23+00:00",DCRA06,A24,""
DCRA07,DCRA07,-45.4563033911063,167.150036128453," None"," None",A24," Navaid Blue"," NEW",-45.456309,167.150032,"2021-06-24 03:10:23+00:00",DCRA07,A24,""
DCRA08,DCRA08,-45.4563843441196,167.149479474694," None"," None",A24," Navaid Blue"," NEW",-45.456388,167.149474,"2021-06-24 03:10:24+00:00",DCRA08,A24,""
DCRA09,DCRA09,-45.4567120619275,167.14921357693," None"," None",A24," Navaid Blue"," NEW",-45.456716,167.149209,"2021-06-24 03:10:23+00:00",DCRA09,A24,""
DCRA10,DCRA10,-45.4570816091841,167.148989088553," None"," None",A24," Navaid Blue"," NEW",-45.457083,167.14898,"2021-06-24 03:10:23+00:00",DCRA10,A24,""
DCRA11,DCRA11,-45.4574774416937,167.148812633395," None"," None",A24," Navaid Blue"," NEW",-45.457479,167.148811,"2021-06-24 03:10:24+00:00",DCRA11,A24,""
DCRA12,DCRA12,-45.4579038877923,167.148768373632," None"," None",A24," Navaid Blue"," NEW",-45.457909,167.148766,"2021-06-24 03:10:23+00:00",DCRA12,A24,""
DCRA13,DCRA13,-45.4582260506794,167.148548794957," None"," None",A24," Navaid Blue"," NEW",-45.45823,167.148541,"2021-06-24 03:10:24+00:00",DCRA13,A24,""
DCRA14,DCRA14,-45.4586406500823,167.148505761663," None"," None",A24," Navaid Blue"," NEW",-45.458642,167.148498,"2021-06-24 03:10:24+00:00",DCRA14,A24,""
DCRA15,DCRA15,-45.4592661453995,167.148626981666," None"," None",A24," Navaid Blue"," NEW",-45.45927,167.148625,"2021-06-24 03:10:24+00:00",DCRA15,A24,""
DCRA16,DCRA16,-45.459418944678,167.14905110226," None"," None",A24," Navaid Blue"," NEW",-45.459426,167.149043,"2021-06-24 03:10:24+00:00",DCRA16,A24,""
DCRA17,DCRA17,-45.4598124498667,167.149061028178," None"," None",A24," Navaid Blue"," NEW",-45.459814,167.149054,"2021-06-24 03:10:24+00:00",DCRA17,A24,""
DCRA18,DCRA18,-45.4601770068148,167.149666247233," None"," None",A24," Navaid Blue"," NEW",-45.460178,167.149656,"2021-06-24 03:10:24+00:00",DCRA18,A24,""
DCRA19,DCRA19,-45.4604453999293,167.149790697084," None"," None",A24," Navaid Blue"," NEW",-45.460446,167.149782,"2021-06-24 03:10:24+00:00",DCRA19,A24,""
DCRA20,DCRA20,-45.4608184074123,167.149633527288," None"," None",A24," Navaid Blue"," NEW",-45.460825,167.149627,"2021-06-24 03:10:24+00:00",DCRA20,A24,""
DCRA21,DCRA21,-45.461273735953,167.149687808155," None"," None",A24," Navaid Blue"," NEW",-45.461278,167.149683,"2021-06-24 03:10:24+00:00",DCRA21,A24,""
DCRA22,DCRA22,-45.4616681055075,167.149714570632," None"," None",A24," Navaid Blue"," NEW",-45.461675,167.149705,"2021-06-24 03:10:24+00:00",DCRA22,A24,""
DCRA23,DCRA23,-45.4621396062417,167.14985178966," None"," None",A24," Navaid Blue"," NEW",-45.462141,167.149849,"2021-06-24 03:10:24+00:00",DCRA23,A24,""
DCRA24,DCRA24,-45.462669203976,167.149729131203," None"," None",A24," Navaid Blue"," NEW",-45.462675,167.149717,"2021-06-24 03:10:24+00:00",DCRA24,A24,""
DCRA25,DCRA25,-45.4630915904564,167.149837603043," None"," None",A24," Navaid Blue"," NEW",-45.463094,167.149827,"2021-06-24 03:10:24+00:00",DCRA25,A24,""
DCRA26,DCRA26,-45.4633186564246,167.150084812149," None"," None",A24," Navaid Blue"," NEW",-45.463323,167.150072,"2021-06-24 03:10:24+00:00",DCRA26,A24,""
DCRA27,DCRA27,-45.4636762896448,167.150555403733," None"," None",A24," Navaid Blue"," NEW",-45.463681,167.150546,"2021-06-24 03:10:24+00:00",DCRA27,A24,""
DCRA28,DCRA28,-45.4640148188408,167.151349533368," None"," None",A24," Navaid Blue"," NEW",-45.464019,167.151343,"2021-06-24 03:10:24+00:00",DCRA28,A24,""
DCRA29,DCRA29,-45.4643227330156,167.152011458931," None"," None",A24," Navaid Blue"," NEW",-45.464323,167.152002,"2021-06-24 03:10:24+00:00",DCRA29,A24,""
DCRA30,DCRA30,-45.4640508030567,167.152513536507," None"," None",A24," Navaid Blue"," NEW",-45.464051,167.152503,"2021-06-24 03:10:24+00:00",DCRA30,A24,""
HF01,HF01,-45.4687285284106,167.165418274999," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.471384,167.16542,"2021-07-02 04:48:32+00:00",HF01,"DOC150 Double",""
HF02,HF02,-45.4674318137592,167.164283163328," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.468729,167.165413,"2021-06-24 03:10:24+00:00",HF02,"DOC150 Double",""
HF03,HF03,-45.4661503936462,167.163341482951," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.467437,167.16428,"2021-06-24 03:10:23+00:00",HF03,"DOC150 Double",""
HF04,"",-45.4663736161976,167.165237352473," None"," None","DOC150 Double"," Navaid Red"," NEW","","","",HF04,"DOC150 Double",""
HF05,HF05,-45.4666634019308,167.167203107958," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.466379,167.165234,"2021-06-24 03:10:24+00:00",HF05,"DOC150 Double",""
HF06,HF06,-45.4650904463586,167.166547139514," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.465096,167.166544,"2021-06-24 03:10:23+00:00",HF06,"DOC150 Double",""
HF07,HF07,-45.4677422047273,167.167526439059," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.466669,167.1672,"2021-06-24 03:10:23+00:00",HF07,"DOC150 Double",""
HF08,HF08,-45.4678537452663,167.167770767339," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.467747,167.167523,"2021-06-24 03:10:24+00:00",HF08,"DOC150 Double",""
HF09,HF09,-45.468866257671,167.167678778205," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.4702,167.167781,"2021-06-24 03:10:24+00:00",HF09,"DOC150 Double",""
HF10,HF10,-45.4701949603491,167.167784353283," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.471204,167.168407,"2021-07-02 23:03:37+00:00",HF10,"DOC150 Double",""
HF11,HF11,-45.4715659441628,167.169945456857," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.471463,167.166947,"2021-06-24 03:10:23+00:00",HF11,"DOC150 Double",""
HF12,"",-45.4724970453948,167.169669997922," None"," None","DOC150 Double"," Navaid Red"," NEW","","","",,,
HF13,"",-45.4723668038633,167.16832525562," None"," None","DOC150 Double"," Navaid Red"," NEW","","","",,,
HF14,"",-45.4714574979119,167.166949992345," None"," None","DOC150 Double"," Navaid Red"," NEW","","","",,,
L01,L01,-45.486374,167.169442,141.43808,"2021-03-01 19:50:49+00:00",DOC200," Pin Red","Line 8",-45.48638,167.169433,"2021-06-24 03:04:20+00:00",L01,DOC200,""
L02,L02,-45.486534,167.169273,151.237137,"2021-03-01 19:52:43+00:00",A24," Pin Blue","Line 8",-45.486534,167.169264,"2021-06-24 03:04:20+00:00",L02,A24,""
L03,L03,-45.48672,167.169621,161.115799,"2021-03-01 19:54:31+00:00",DOC200," Pin Red","Line 8",-45.486723,167.169616,"2021-06-24 03:04:20+00:00",L03,DOC200,""
L04,L04,-45.486963,167.169717,172.532318,"2021-03-01 19:56:16+00:00",A24," Pin Blue","Line 8",-45.48697,167.169705,"2021-06-24 03:04:20+00:00",L04,A24,""
L05,L05,-45.487213,167.169619,182.108597,"2021-03-01 19:58:01+00:00",DOC200," Pin Red","Line 8",-45.487218,167.169615,"2021-06-24 03:04:20+00:00",L05,DOC200,""
L06,L06,-45.487408,167.169713,194.696594,"2021-03-01 20:00:03+00:00",A24," Pin Blue","Line 8",-45.487412,167.169711,"2021-06-24 03:04:20+00:00",L06,A24,""
L07,L07,-45.487654,167.169766,208.177719,"2021-03-01 20:02:09+00:00",DOC200," Pin Red","Line 8",-45.487658,167.169762,"2021-06-24 03:04:20+00:00",L07,DOC200,""
L08,L08,-45.487747,167.169544,219.993988,"2021-03-01 20:04:31+00:00",DOC200," Pin Red","Line 8",-45.487754,167.169534,"2021-06-24 03:04:20+00:00",L08,DOC200,""
L09,L09,-45.48811,167.16964,225.25238,"2021-03-01 20:06:38+00:00",DOC200," Pin Red","Line 8",-45.48811,167.169638,"2021-06-24 03:04:20+00:00",L09,DOC200,"Sprung, egg gone. Weight tested."
L10,L10,-45.488375,167.1695,232.642471,"2021-03-01 20:08:51+00:00",DOC200," Pin Red","Line 8",-45.488382,167.169495,"2021-06-24 03:04:20+00:00",L10,DOC200,""
L11,L11,-45.488586,167.169466,239.580872,"2021-03-01 20:10:42+00:00",DOC200," Pin Red","Line 8",-45.488587,167.169461,"2021-06-24 03:04:20+00:00",L11,DOC200,""
L12,L12,-45.488782,167.169129,258.638214,"2021-03-01 20:13:47+00:00",DOC200," Pin Red","Line 8",-45.488786,167.16912,"2021-06-24 03:04:20+00:00",L12,DOC200,""
L13,L13,-45.488966,167.168791,261.033783,"2021-03-01 20:15:54+00:00"," No Trap"," Navaid Black","Line 8",-45.488967,167.168782,"2021-06-24 03:04:20+00:00",L13," No Trap",""
L14,L14,-45.489153,167.168562,268.1922,"2021-03-01 20:17:30+00:00"," No Trap"," Navaid Black","Line 8",-45.489153,167.168558,"2021-06-24 03:04:20+00:00",L14," No Trap",""
L15,L15,-45.489259,167.168213,267.655457,"2021-03-01 20:19:22+00:00"," No Trap"," Navaid Black","Line 8",-45.489261,167.168201,"2021-06-24 03:04:20+00:00",L15," No Trap",""
L16,L16,-45.489283,167.167782,266.150879,"2021-03-01 22:32:51+00:00"," No Trap"," Navaid Black","Line 8",-45.489284,167.167776,"2021-06-24 03:04:20+00:00",L16," No Trap",""
L17,L17,-45.48913,167.167453,261.949615,"2021-03-01 22:31:35+00:00"," No Trap"," Navaid Black","Line 8",-45.489132,167.167446,"2021-06-24 03:04:20+00:00",L17," No Trap",""
L18,L18,-45.489244,167.167018,247.168213,"2021-03-01 22:29:03+00:00"," No Trap"," Navaid Black","Line 8",-45.489245,167.167012,"2021-06-24 03:04:20+00:00",L18," No Trap",""
L19,L19,-45.489073,167.166443,235.958786,"2021-03-01 22:27:01+00:00"," No Trap"," Navaid Black","Line 8",-45.489081,167.166441,"2021-06-24 03:04:20+00:00",L19," No Trap",""
L20,L20,-45.489501,167.166076,239.098862,"2021-03-01 22:24:32+00:00"," No Trap"," Navaid Black","Line 8",-45.489503,167.166064,"2021-06-24 03:04:20+00:00",L20," No Trap",""
L21,L21,-45.489671,167.165737,229.861191,"2021-03-01 22:22:39+00:00"," No Trap"," Navaid Black","Line 8",-45.489674,167.165726,"2021-06-24 03:04:20+00:00",L21," No Trap",""
L22,L22,-45.489612,167.165397,214.654144,"2021-03-01 22:20:26+00:00"," No Trap"," Navaid Black","Line 8",-45.489612,167.165387,"2021-06-24 03:04:20+00:00",L22," No Trap",""
L23,L23,-45.489474,167.164898,201.534988,"2021-03-01 22:17:10+00:00"," No Trap"," Navaid Black","Line 8",-45.489478,167.164889,"2021-06-24 03:04:20+00:00",L23," No Trap",""
L24,L24,-45.489421,167.164246,201.410812,"2021-03-01 22:15:26+00:00"," No Trap"," Navaid Black","Line 8",-45.489427,167.164242,"2021-06-24 03:04:20+00:00",L24," No Trap",""
L25,L25,-45.489634,167.164024,213.023804,"2021-03-01 22:14:08+00:00"," No Trap"," Navaid Black","Line 8",-45.489641,167.164015,"2021-06-24 03:04:20+00:00",L25," No Trap",""
L26,L26,-45.490067,167.163833,224.00264,"2021-03-01 22:12:29+00:00"," No Trap"," Navaid Black","Line 8",-45.490072,167.163829,"2021-06-24 03:04:20+00:00",L26," No Trap",""
L27,L27,-45.490746,167.163937,221.796295,"2021-03-01 22:10:57+00:00"," No Trap"," Navaid Black","Line 8",-45.490752,167.163925,"2021-06-24 03:04:20+00:00",L27," No Trap",""
L28,L28,-45.491128,167.163578,223.989426,"2021-03-01 22:09:07+00:00"," No Trap"," Navaid Black","Line 8",-45.49113,167.163566,"2021-06-24 03:04:20+00:00",L28," No Trap",""
L29,L29,-45.491252,167.163578,234.656464,"2021-03-01 22:06:51+00:00"," No Trap"," Navaid Black","Line 8",-45.491256,167.163566,"2021-06-24 03:04:20+00:00",L29," No Trap",""
L30,L30,-45.49138,167.163368,235.531082,"2021-03-01 22:04:38+00:00"," No Trap"," Navaid Black","Line 8",-45.49138,167.163361,"2021-06-24 03:04:20+00:00",L30," No Trap",""
L31,L31,-45.490778,167.162099,222.375717,"2021-03-01 22:03:07+00:00"," No Trap"," Navaid Black","Line 8",-45.490784,167.162092,"2021-06-24 03:04:20+00:00",L31," No Trap",""
L32,L32,-45.490909,167.161715,226.960892,"2021-03-01 21:56:17+00:00"," No Trap"," Navaid Black","Line 8",-45.490917,167.161707,"2021-06-24 03:04:20+00:00",L32," No Trap",""
L33,L33,-45.490895,167.161255,212.373352,"2021-03-01 21:54:34+00:00"," No Trap"," Navaid Black","Line 8",-45.490903,167.161247,"2021-06-24 03:04:20+00:00",L33," No Trap",""
L34,L34,-45.490895,167.160731,207.577026,"2021-03-01 21:53:31+00:00"," No Trap"," Navaid Black","Line 8",-45.490903,167.160723,"2021-06-24 03:04:20+00:00",L34," No Trap",""
L35,L35,-45.490985,167.160183,206.390717,"2021-03-01 21:51:08+00:00"," No Trap"," Navaid Black","Line 8",-45.490992,167.160176,"2021-06-24 03:04:20+00:00",L35," No Trap",""
ODS01,ODS01,-45.485596253942,167.175269690413," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.485598,167.175261,"2021-06-24 03:10:24+00:00",ODS01,"DOC150 Double",""
ODS02,ODS02,-45.4840326555189,167.174672505791," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.484038,167.174667,"2021-06-24 03:10:23+00:00",ODS02,"DOC150 Double",""
ODS03,ODS03,-45.4830126778039,167.173211631811," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.483017,167.173198,"2021-06-24 03:10:23+00:00",ODS03,"DOC150 Double",""
ODS04,ODS04,-45.4822126536503,167.172548330101," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.482218,167.172539,"2021-06-24 03:10:24+00:00",ODS04,"DOC150 Double","Live stoat noted nearby"
ODS05,ODS05,-45.4814209006201,167.171167576502," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.481428,167.171162,"2021-06-24 03:10:23+00:00",ODS05,"DOC150 Double",""
ODS06,ODS06,-45.4798753030137,167.170746545611," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.479876,167.170734,"2021-06-24 03:10:23+00:00",ODS06,"DOC150 Double",""
ODS07,ODS07,-45.4785046823644,167.169488482693," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.478506,167.169481,"2021-06-24 03:10:24+00:00",ODS07,"DOC150 Double",""
ODS08,ODS08,-45.4771151121682,167.168950277963," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.477119,167.168946,"2021-06-24 03:10:23+00:00",ODS08,"DOC150 Double",""
ODS09,ODS09,-45.4770352539878,167.166829342474," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.477037,167.166818,"2021-06-24 03:10:23+00:00",ODS09,"DOC150 Double",""
ODS11,ODS11,-45.4739297001984,167.166234731161," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.473988,167.166865,"2021-06-24 03:10:24+00:00",ODS11,"DOC150 Double",""
ODS12,"",-45.472061361898,167.164961905212," None"," None","DOC150 Double"," Navaid Red"," NEW","","","",,,
TR01,TR01,-45.4710840097541,167.163246314981," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.475305,167.168507,"2021-07-02 21:54:34+00:00",TR01,"DOC150 Double",""
TR02,TR02,-45.4739833849772,167.166871514157," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.473239,167.166123,"2021-07-02 22:07:47+00:00",TR02,"DOC150 Double",""
TR03,TR03,-45.4754304602517,167.168617544701," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.47212,167.165369,"2021-07-02 22:12:30+00:00",TR03,"DOC150 Double",""
TR04,TR04,-45.4761466544262,167.16902363813," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.466249,167.163764,"2021-07-02 22:29:34+00:00",TR04,"DOC150 Double",""
TR04,TR04,-45.4761466544262,167.16902363813," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.471093,167.163236,"2021-06-24 03:10:24+00:00",TR04,"DOC150 Double",""
TR05,"",-45.4694891904847,167.163568861592," None"," None","DOC150 Double"," Navaid Red"," NEW","","","",,,
TR06,"",-45.4686026282966,167.162957021089," None"," None","DOC150 Double"," Navaid Red"," NEW","","","",,,
WR01,WR01,-45.4643606347192,167.156232373443," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.464368,167.156219,"2021-06-24 03:10:23+00:00",WR01,"DOC150 Double",""
WR02,WR02,-45.4645522481268,167.158071305056," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.464553,167.158067,"2021-06-24 03:10:23+00:00",WR02,"DOC150 Double",""
WR03,WR03,-45.4666517678558,167.15874281975," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.466658,167.158732,"2021-06-24 03:10:23+00:00",WR03,"DOC150 Double",""
WR04,WR04,-45.4681232656561,167.159297792987," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.468127,167.159296,"2021-06-24 03:10:24+00:00",WR04,"DOC150 Double",""
WR05,WR05,-45.469626641941,167.160491746001," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.469628,167.160484,"2021-06-24 03:10:23+00:00",WR05,"DOC150 Double",""
"WR05A GRAV PIT TRAP","WR05A GRAV PIT TRAP",-45.4710099417328,167.161187707016," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.471014,167.161185,"2021-06-24 03:10:23+00:00",,,
WR06,WR06,-45.4715975600544,167.162201553034," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.471606,167.162198,"2021-06-24 03:10:24+00:00",WR06,"DOC150 Double",""
WR07,WR07,-45.4735000337795,167.162296172981," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.473501,167.162283,"2021-06-24 03:10:23+00:00",WR07,"DOC150 Double",""
WR08,WR08,-45.4751872132386,167.162721464867," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.475188,167.16271,"2021-06-24 03:10:23+00:00",WR08,"DOC150 Double",""
WR09,WR09,-45.4772458619438,167.163474250296," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.477253,167.163468,"2021-06-24 03:10:24+00:00",WR09,"DOC150 Double",""
WR10,WR10,-45.4777837139205,167.166099260562," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.477792,167.166087,"2021-06-24 03:10:23+00:00",WR10,"DOC150 Double",""
WR11,WR11,-45.478931269769,167.168291403799," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.47894,167.168284,"2021-06-24 03:10:24+00:00",WR11,"DOC150 Double",""
WR12,WR12,-45.4807831525964,167.169243704732," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.480789,167.169232,"2021-06-24 03:10:24+00:00",WR12,"DOC150 Double",""
WR13,WR13,-45.4821936442193,167.170383789154," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.482198,167.170378,"2021-06-24 03:10:23+00:00",WR13,"DOC150 Double",""
WR14,WR14,-45.4840762334488,167.169422391783," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.484084,167.169415,"2021-06-24 03:10:23+00:00",WR14,"DOC150 Double","Huge beast!"
WR15,WR15,-45.4857195770683,167.168922094673," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.485724,167.168913,"2021-06-24 03:10:24+00:00",WR15,"DOC150 Double",""
WR16,WR16,-45.4845276577004,167.171223605224," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.484536,167.171211,"2021-06-24 03:10:23+00:00",WR16,"DOC150 Double",""
WR17,WR17,-45.4851424239459,167.171802421676," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.485151,167.1718,"2021-06-24 03:10:24+00:00",WR17,"DOC150 Double",""
WR18,WR18,-45.4863948843159,167.169716031843," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.486404,167.169713,"2021-06-24 03:10:23+00:00",WR18,"DOC150 Double",""
WR19,WR19,-45.4861944060356,167.172112050924," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.486202,167.172101,"2021-06-24 03:10:23+00:00",WR19,"DOC150 Double",""
WR20,WR20,-45.4859716878539,167.174654967044," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.485972,167.174646,"2021-06-24 03:10:23+00:00",WR20,"DOC150 Double",""
WR21,WR21,-45.4851402577987,167.177054751038," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.485141,167.177048,"2021-06-24 03:10:23+00:00",WR21,"DOC150 Double",""
WR22,WR22,-45.4853812990668,167.177279384386," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.485386,167.177266,"2021-06-24 03:10:23+00:00",WR22,"DOC150 Double",""
WR23,WR23,-45.4875001864207,167.178155838404," None"," None","DOC150 Double"," Navaid Red"," NEW",-45.487502,167.178148,"2021-06-24 03:10:24+00:00",WR23,"DOC150 Double",
"main: /Users/davidcary/Stans.db r/w","","","","","","","","","","","",,,
"NEW  OLD","","","","","","","","","","","",,,
"main: /Users/davidcary/Stans.db r/w","","","","","","","","","","",,,,
