name, latitude, longitude, elevation, time, comment, symbol, description
BP60,-45.45907,167.148123,175.738297,2021-02-28 20:55:48+00:00,A24, Pin Blue,Line 5
BP60.4,-45.465265,167.155895,61.223221,2021-03-01 02:04:33+00:00,A24, Pin Blue,Line 4
BP61,-45.465166,167.15604,69.345482,2021-03-01 02:06:51+00:00,DOC200, Pin Red,Line 4
BP62,-45.465138,167.156167,69.247459,2021-03-01 02:08:25+00:00,A24, Pin Blue,Line 4
BP63,-45.46488,167.156435,55.353573,2021-03-01 02:10:37+00:00,A24, Pin Blue,Line 4
BP64,-45.464812,167.156452,51.979195,2021-03-01 02:13:27+00:00,A24, Pin Blue,Line 4
BP70,-45.465762,167.152819,42.002918,2021-02-28 22:36:45+00:00,DOC200, Pin Red,Line 6
BP71,-45.465755,167.152457,42.967293,2021-02-28 22:42:56+00:00,A24, Pin Blue,Line 6
BP72,-45.465653,167.152195,55.017143,2021-02-28 22:47:13+00:00,A24, Pin Blue,Line 6
BP73,-45.465648,167.15189,68.814079,2021-02-28 22:51:57+00:00,DOC200, Pin Red,Line 6
BP74,-45.465433,167.15152,81.076782,2021-02-28 22:57:16+00:00,A24, Pin Blue,Line 6
BP75,-45.465066,167.151164,93.073631,2021-02-28 23:02:14+00:00,A24, Pin Blue,Line 6
BP76,-45.46521,167.150928,108.217377,2021-02-28 23:07:37+00:00,DOC200, Pin Red,Line 6
BP76.6,-45.465062,167.15073,125.212807,2021-02-28 23:17:09+00:00, No Trap, Navaid Black,Line 6
BP77,-45.465055,167.150301,151.314484,2021-02-28 23:20:49+00:00,A24, Pin Blue,Line 6
BP78,-45.464916,167.150166,164.997482,2021-02-28 23:25:46+00:00,A24, Pin Blue,Line 6
BP78.6,-45.465061,167.149513,186.063461,2021-02-28 23:35:25+00:00,A24 down hill, Pin Blue,Line 6
BP79,-45.465018,167.149622,193.359573,2021-02-28 23:36:52+00:00,A24, Pin Blue,Line 6
BP80,-45.464874,167.149259,221.153473,2021-02-28 23:44:12+00:00,A24, Pin Blue,Line 6
BP81,-45.464807,167.148927,232.546707,2021-02-28 23:50:33+00:00,A24, Pin Blue,Line 6
BP82,-45.46456,167.148949,235.754959,2021-02-28 23:55:13+00:00,A24, Pin Blue,Line 6
BP83,-45.464264,167.148804,240.668991,2021-02-28 23:58:43+00:00,A24, Pin Blue,Line 6
BP84,-45.464004,167.148736,236.377335,2021-03-01 00:02:48+00:00,A24, Pin Blue,Line 6
BP85,-45.463761,167.148378,235.779617,2021-03-01 00:07:55+00:00,A24, Pin Blue,Line 6
BPA01,-45.463719,167.15431,19.394974,2021-03-01 18:48:56+00:00,A12, Pin Green,Line 7
BPA02,-45.463505,167.153588,20.532106,2021-03-01 18:45:31+00:00,A12, Pin Green,Line 7
BPA03,-45.464019,167.153227,24.546474,2021-03-01 18:55:25+00:00,A12, Pin Green,Line 7
BPA04,-45.463447,167.15299,19.522469,2021-03-01 18:51:04+00:00,A12, Pin Green,Line 7
BPA05,-45.464015,167.153633,26.367428,2021-03-01 18:56:30+00:00,A12, Pin Green,Line 7
BPT01,-45.458399,167.150725,17.673618,2021-03-01 18:33:00+00:00, Trapinator, Pin Green,Line 7
