name, latitude-new, longitude-new, time-new
BP64,-45.464812,167.156441,2021-06-24 03:04:19+00:00
BP70,-45.465768,167.152811,2021-06-24 03:04:19+00:00
BP71,-45.465759,167.152454,2021-06-24 03:04:19+00:00
BP72,-45.465655,167.152183,2021-06-24 03:04:19+00:00
BP73,-45.465649,167.15189,2021-06-24 03:04:19+00:00
BP74,-45.465441,167.151515,2021-06-24 03:04:19+00:00
BP75,-45.465071,167.151157,2021-06-24 03:04:19+00:00
BP76,-45.465212,167.150925,2021-06-24 03:04:19+00:00
BP76.6,-45.465067,167.150722,2021-06-24 03:04:19+00:00
BP77,-45.465063,167.150288,2021-06-24 03:04:19+00:00
BP78,-45.464921,167.150162,2021-06-24 03:04:19+00:00
BP78.6,-45.465067,167.149507,2021-06-24 03:04:19+00:00
BP79,-45.465019,167.149614,2021-06-24 03:04:19+00:00
BP80,-45.464875,167.149258,2021-06-24 03:04:19+00:00
BP81,-45.464812,167.148919,2021-06-24 03:04:19+00:00
BP82,-45.464562,167.148945,2021-06-24 03:04:19+00:00
BP83,-45.464266,167.148797,2021-06-24 03:04:19+00:00
BP84,-45.464011,167.148734,2021-06-24 03:04:19+00:00
BP85,-45.463767,167.148375,2021-06-24 03:04:19+00:00
BPA01,-45.463721,167.154303,2021-06-24 03:04:20+00:00
BPA02,-45.463513,167.153583,2021-06-24 03:04:20+00:00
BPA03,-45.464025,167.153222,2021-06-24 03:04:20+00:00
BPA05,-45.464019,167.153632,2021-06-24 03:04:20+00:00
BPT05,-45.465808,167.158321,2021-06-24 03:04:20+00:00
BPT06,-45.466616,167.1588,2021-06-24 03:04:20+00:00
BPT07,-45.467709,167.159749,2021-06-24 03:04:20+00:00
BPT08,-45.464889,167.158122,2021-06-24 03:04:20+00:00
BPT09,-45.468212,167.159901,2021-06-24 03:04:20+00:00
BPT10,-45.469327,167.160413,2021-06-24 03:04:20+00:00
DC01,-45.457843,167.15064,2021-07-03 02:08:41+00:00
DC02,-45.458405,167.150723,2021-06-24 03:04:20+00:00
DC03,-45.458862,167.150842,2021-07-03 02:02:57+00:00
DC04,-45.459182,167.150936,2021-07-03 02:00:51+00:00
DC05,-45.459716,167.15152,2021-06-24 03:10:23+00:00
DC05,-45.459404,167.151067,2021-07-03 01:59:17+00:00
DC06,-45.460109,167.151288,2021-07-03 01:45:23+00:00
DC06,-45.459885,167.151132,2021-07-03 01:55:41+00:00
DC07,-45.460098,167.15143,2021-07-03 01:39:32+00:00
DC07B,-45.460326,167.151649,2021-07-03 01:52:03+00:00
DC07multi,-45.460389,167.151668,2021-07-03 01:52:47+00:00
DC08,-45.460645,167.151386,2021-06-24 03:10:23+00:00
DC09,-45.460882,167.151617,2021-07-03 01:18:51+00:00
DC10,-45.46137,167.151822,2021-07-03 01:15:55+00:00
DC11,-45.461906,167.151933,2021-07-03 01:10:50+00:00
DC12,-45.462664,167.152315,2021-07-03 00:58:13+00:00
DC13,-45.462743,167.152793,2021-06-24 03:10:24+00:00
DCA 05,-45.459427,167.150988,2021-07-03 01:59:51+00:00
DCA01,-45.457782,167.150685,2021-06-24 03:10:23+00:00
DCA02,-45.458306,167.15072,2021-06-24 03:10:23+00:00
DCA02,-45.458306,167.150707,2021-06-24 03:10:24+00:00
DCA03,-45.459107,167.15088,2021-06-24 03:10:23+00:00
DCA03,-45.458783,167.151054,2021-07-03 02:03:27+00:00
DCA04,-45.459226,167.150932,2021-07-03 02:01:21+00:00
DCA05,-45.459715,167.151508,2021-06-24 03:10:24+00:00
DCA06,-45.459888,167.151375,2021-07-03 01:46:51+00:00
DCA07,-45.460431,167.151433,2021-07-03 01:22:53+00:00
DCA07B,-45.460192,167.151497,2021-07-03 01:42:44+00:00
DCA08,-45.460645,167.151386,2021-06-24 03:10:24+00:00
DCA09,-45.461062,167.15179,2021-07-03 01:18:01+00:00
DCA10,-45.461432,167.151982,2021-07-03 01:13:22+00:00
DCA11,-45.461828,167.151992,2021-07-03 01:07:31+00:00
DCA12,-45.462655,167.152482,2021-07-03 01:00:55+00:00
DCA13,-45.462742,167.15278,2021-06-24 03:10:24+00:00
DCR01,-45.457439,167.150836,2021-06-24 03:10:24+00:00
DCR02,-45.45702,167.150738,2021-06-24 03:10:23+00:00
DCR03,-45.456681,167.150441,2021-06-24 03:10:23+00:00
DCR04,-45.456309,167.150735,2021-06-24 03:10:23+00:00
DCR05,-45.455902,167.150701,2021-06-24 03:10:24+00:00
DCR06,-45.455883,167.150166,2021-06-24 03:10:23+00:00
DCR07,-45.456309,167.150032,2021-06-24 03:10:23+00:00
DCR08,-45.456397,167.149473,2021-06-24 03:10:24+00:00
DCR09,-45.456743,167.149207,2021-06-24 03:10:23+00:00
DCR10,-45.457136,167.148974,2021-06-24 03:10:23+00:00
DCR11,-45.457517,167.148845,2021-06-24 03:10:24+00:00
DCR12,-45.45791,167.148791,2021-06-24 03:10:23+00:00
DCR13,-45.458295,167.148572,2021-06-24 03:10:23+00:00
DCR14,-45.458692,167.148582,2021-06-24 03:10:24+00:00
DCR15,-45.459252,167.148626,2021-06-24 03:10:24+00:00
DCR16,-45.459454,167.149053,2021-06-24 03:10:24+00:00
DCR17,-45.459833,167.149078,2021-06-24 03:10:24+00:00
DCR18,-45.460159,167.149632,2021-06-24 03:10:24+00:00
DCR19,-45.460455,167.149794,2021-06-24 03:10:24+00:00
DCR20,-45.460842,167.149613,2021-06-24 03:10:24+00:00
DCR21,-45.461329,167.149639,2021-06-24 03:10:24+00:00
DCR22,-45.461649,167.149734,2021-06-24 03:10:24+00:00
DCR23,-45.462104,167.149814,2021-06-24 03:10:24+00:00
DCR24,-45.462686,167.149754,2021-06-24 03:10:24+00:00
DCR25,-45.463094,167.149827,2021-06-24 03:10:24+00:00
DCR26,-45.463335,167.150122,2021-06-24 03:10:24+00:00
DCR27,-45.463671,167.150534,2021-06-24 03:10:24+00:00
DCR28,-45.464028,167.151342,2021-06-24 03:10:24+00:00
DCR29,-45.464332,167.152014,2021-06-24 03:10:24+00:00
DCR30,-45.464095,167.152486,2021-06-24 03:10:24+00:00
DCRA01,-45.457439,167.150836,2021-06-24 03:10:23+00:00
DCRA02,-45.457011,167.150739,2021-06-24 03:10:24+00:00
DCRA03,-45.45668,167.150428,2021-06-24 03:10:23+00:00
DCRA04,-45.456309,167.150735,2021-06-24 03:10:23+00:00
DCRA05,-45.455901,167.150688,2021-06-24 03:10:23+00:00
DCRA06,-45.455874,167.150167,2021-06-24 03:10:23+00:00
DCRA07,-45.456309,167.150032,2021-06-24 03:10:23+00:00
DCRA08,-45.456388,167.149474,2021-06-24 03:10:24+00:00
DCRA09,-45.456716,167.149209,2021-06-24 03:10:23+00:00
DCRA10,-45.457083,167.14898,2021-06-24 03:10:23+00:00
DCRA11,-45.457479,167.148811,2021-06-24 03:10:24+00:00
DCRA12,-45.457909,167.148766,2021-06-24 03:10:23+00:00
DCRA13,-45.45823,167.148541,2021-06-24 03:10:24+00:00
DCRA14,-45.458642,167.148498,2021-06-24 03:10:24+00:00
DCRA15,-45.45927,167.148625,2021-06-24 03:10:24+00:00
DCRA16,-45.459426,167.149043,2021-06-24 03:10:24+00:00
DCRA17,-45.459814,167.149054,2021-06-24 03:10:24+00:00
DCRA18,-45.460178,167.149656,2021-06-24 03:10:24+00:00
DCRA19,-45.460446,167.149782,2021-06-24 03:10:24+00:00
DCRA20,-45.460825,167.149627,2021-06-24 03:10:24+00:00
DCRA21,-45.461278,167.149683,2021-06-24 03:10:24+00:00
DCRA22,-45.461675,167.149705,2021-06-24 03:10:24+00:00
DCRA23,-45.462141,167.149849,2021-06-24 03:10:24+00:00
DCRA24,-45.462675,167.149717,2021-06-24 03:10:24+00:00
DCRA25,-45.463094,167.149827,2021-06-24 03:10:24+00:00
DCRA26,-45.463323,167.150072,2021-06-24 03:10:24+00:00
DCRA27,-45.463681,167.150546,2021-06-24 03:10:24+00:00
DCRA28,-45.464019,167.151343,2021-06-24 03:10:24+00:00
DCRA29,-45.464323,167.152002,2021-06-24 03:10:24+00:00
DCRA30,-45.464051,167.152503,2021-06-24 03:10:24+00:00
HF01,-45.471384,167.16542,2021-07-02 04:48:32+00:00
HF02,-45.468729,167.165413,2021-06-24 03:10:24+00:00
HF03,-45.467437,167.16428,2021-06-24 03:10:23+00:00
HF05,-45.466379,167.165234,2021-06-24 03:10:24+00:00
HF06,-45.465096,167.166544,2021-06-24 03:10:23+00:00
HF07,-45.466669,167.1672,2021-06-24 03:10:23+00:00
HF08,-45.467747,167.167523,2021-06-24 03:10:24+00:00
HF09,-45.4702,167.167781,2021-06-24 03:10:24+00:00
HF10,-45.471204,167.168407,2021-07-02 23:03:37+00:00
HF11,-45.471463,167.166947,2021-06-24 03:10:23+00:00
L01,-45.48638,167.169433,2021-06-24 03:04:20+00:00
L02,-45.486534,167.169264,2021-06-24 03:04:20+00:00
L03,-45.486723,167.169616,2021-06-24 03:04:20+00:00
L04,-45.48697,167.169705,2021-06-24 03:04:20+00:00
L05,-45.487218,167.169615,2021-06-24 03:04:20+00:00
L06,-45.487412,167.169711,2021-06-24 03:04:20+00:00
L07,-45.487658,167.169762,2021-06-24 03:04:20+00:00
L08,-45.487754,167.169534,2021-06-24 03:04:20+00:00
L09,-45.48811,167.169638,2021-06-24 03:04:20+00:00
L10,-45.488382,167.169495,2021-06-24 03:04:20+00:00
L11,-45.488587,167.169461,2021-06-24 03:04:20+00:00
L12,-45.488786,167.16912,2021-06-24 03:04:20+00:00
L13,-45.488967,167.168782,2021-06-24 03:04:20+00:00
L14,-45.489153,167.168558,2021-06-24 03:04:20+00:00
L15,-45.489261,167.168201,2021-06-24 03:04:20+00:00
L16,-45.489284,167.167776,2021-06-24 03:04:20+00:00
L17,-45.489132,167.167446,2021-06-24 03:04:20+00:00
L18,-45.489245,167.167012,2021-06-24 03:04:20+00:00
L19,-45.489081,167.166441,2021-06-24 03:04:20+00:00
L20,-45.489503,167.166064,2021-06-24 03:04:20+00:00
L21,-45.489674,167.165726,2021-06-24 03:04:20+00:00
L22,-45.489612,167.165387,2021-06-24 03:04:20+00:00
L23,-45.489478,167.164889,2021-06-24 03:04:20+00:00
L24,-45.489427,167.164242,2021-06-24 03:04:20+00:00
L25,-45.489641,167.164015,2021-06-24 03:04:20+00:00
L26,-45.490072,167.163829,2021-06-24 03:04:20+00:00
L27,-45.490752,167.163925,2021-06-24 03:04:20+00:00
L28,-45.49113,167.163566,2021-06-24 03:04:20+00:00
L29,-45.491256,167.163566,2021-06-24 03:04:20+00:00
L30,-45.49138,167.163361,2021-06-24 03:04:20+00:00
L31,-45.490784,167.162092,2021-06-24 03:04:20+00:00
L32,-45.490917,167.161707,2021-06-24 03:04:20+00:00
L33,-45.490903,167.161247,2021-06-24 03:04:20+00:00
L34,-45.490903,167.160723,2021-06-24 03:04:20+00:00
L35,-45.490992,167.160176,2021-06-24 03:04:20+00:00
ODS01,-45.485598,167.175261,2021-06-24 03:10:24+00:00
ODS02,-45.484038,167.174667,2021-06-24 03:10:23+00:00
ODS03,-45.483017,167.173198,2021-06-24 03:10:23+00:00
ODS04,-45.482218,167.172539,2021-06-24 03:10:24+00:00
ODS05,-45.481428,167.171162,2021-06-24 03:10:23+00:00
ODS06,-45.479876,167.170734,2021-06-24 03:10:23+00:00
ODS07,-45.478506,167.169481,2021-06-24 03:10:24+00:00
ODS08,-45.477119,167.168946,2021-06-24 03:10:23+00:00
ODS09,-45.477037,167.166818,2021-06-24 03:10:23+00:00
ODS10,-45.476103,167.168962,2021-07-02 21:37:23+00:00
ODS11,-45.473988,167.166865,2021-06-24 03:10:24+00:00
TR01,-45.475305,167.168507,2021-07-02 21:54:34+00:00
TR02,-45.473239,167.166123,2021-07-02 22:07:47+00:00
TR03,-45.47212,167.165369,2021-07-02 22:12:30+00:00
TR04,-45.471093,167.163236,2021-06-24 03:10:24+00:00
TR04,-45.466249,167.163764,2021-07-02 22:29:34+00:00
Unnamed,-45.461828,167.151992,2021-07-03 01:08:18+00:00
Unnamed,-45.461828,167.151992,2021-07-03 01:08:35+00:00
WR01,-45.464368,167.156219,2021-06-24 03:10:23+00:00
WR02,-45.464553,167.158067,2021-06-24 03:10:23+00:00
WR03,-45.466658,167.158732,2021-06-24 03:10:23+00:00
WR04,-45.468127,167.159296,2021-06-24 03:10:24+00:00
WR05,-45.469628,167.160484,2021-06-24 03:10:23+00:00
WR05A GRAV PIT TRAP,-45.471014,167.161185,2021-06-24 03:10:23+00:00
WR06,-45.471606,167.162198,2021-06-24 03:10:24+00:00
WR07,-45.473501,167.162283,2021-06-24 03:10:23+00:00
WR08,-45.475188,167.16271,2021-06-24 03:10:23+00:00
WR09,-45.477253,167.163468,2021-06-24 03:10:24+00:00
WR10,-45.477792,167.166087,2021-06-24 03:10:23+00:00
WR11,-45.47894,167.168284,2021-06-24 03:10:24+00:00
WR12,-45.480789,167.169232,2021-06-24 03:10:24+00:00
WR13,-45.482198,167.170378,2021-06-24 03:10:23+00:00
WR14,-45.484084,167.169415,2021-06-24 03:10:23+00:00
WR15,-45.485724,167.168913,2021-06-24 03:10:24+00:00
WR16,-45.484536,167.171211,2021-06-24 03:10:23+00:00
WR17,-45.485151,167.1718,2021-06-24 03:10:24+00:00
WR18,-45.486404,167.169713,2021-06-24 03:10:23+00:00
WR19,-45.486202,167.172101,2021-06-24 03:10:23+00:00
WR20,-45.485972,167.174646,2021-06-24 03:10:23+00:00
WR21,-45.485141,167.177048,2021-06-24 03:10:23+00:00
WR22,-45.485386,167.177266,2021-06-24 03:10:23+00:00
WR23,-45.487502,167.178148,2021-06-24 03:10:24+00:00
