geometry,Area,Line,Tag No,Trap 1,Trap 2,Date Checked,Baited With,Baited On,Status,Record Comment,Comment,User ID,Trap No,Trap Type
"X: 1143228.0732, Y: 4948951.3625, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP27,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,DOC200SINGLE,N/A,Stan Sally Gav,27,A24
"X: 1143254.2934, Y: 4948986.2199, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP28,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,28,A24
"X: 1143254.0754, Y: 4948946.1118, Z: NaN",DeepCove_WilmotPass,Brasell_Point,BP29,0,N/A,2021-07-03T00:00:00.0000000,No Bait,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,29,A24
"X: 1142683.2, Y: 4949530.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC01,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,1,DOC 150 Double
"X: 1142683.9209, Y: 4949527.8975, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA01,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,1.1,A24
"X: 1142690.2, Y: 4949469.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC02,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,2,DOC 150 Double
"X: 1142689.2126, Y: 4949469.6891, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA02,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,2.1,A24
"X: 1142709.2, Y: 4949381.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC03,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,3,DOC 150 Double
"X: 1142709.0564, Y: 4949381.0535, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA03,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,3.1,A24
"X: 1142734.2, Y: 4949351.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC04,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,4,DOC 150 Double
"X: 1142734.1919, Y: 4949350.6263, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA04,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,4.1,A24
"X: 1142764.2, Y: 4949317.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC05,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,5,DOC 150 Double
"X: 1142763.9575, Y: 4949317.5534, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA05,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,5.1,A24
"X: 1142788.2, Y: 4949253.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC06,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,6,DOC 150 Double
"X: 1142790.4159, Y: 4949254.0532, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA06a,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,6.1,A24
"X: 1142793.7232, Y: 4949254.0532, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA06b,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,6.2,A24
"X: 1142797.2, Y: 4949223.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC07,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,7,DOC 200 Single
"X: 1142801.6607, Y: 4949219.6573, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA07a,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,7.1,A24
"X: 1142803.6451, Y: 4949215.6886, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA07b,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,7.2,A24
"X: 1142796.1104, Y: 4949219.2449, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC07M,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,"Need KB, Rat motel include DOC150 Single and two mouse snap traps",Stan Sally Gav,7.5,DOC 150 Single
"X: 1142761.2, Y: 4949213.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC08,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,8,DOC 150 Double
"X: 1142761.9732, Y: 4949213.0427, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA08,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,8.1,A24
"X: 1142793.2, Y: 4949144.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC09,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,9,DOC 150 Double
"X: 1142793.7232, Y: 4949143.5895, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA09,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,9.1,A24
"X: 1142799.2, Y: 4949126.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC10,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,10,DOC 150 Double
"X: 1142798.3534, Y: 4949126.3915, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA10,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,10.1,A24
"X: 1142815.2, Y: 4949079.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC11,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,11,DOC 150 Double
"X: 1142816.8743, Y: 4949078.7664, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA11,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,11.1,A24
"X: 1142833.2, Y: 4948967.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC12,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,12,DOC 150 Double
"X: 1142834.7337, Y: 4948968.9641, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA12,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,12.1,A24
"X: 1142888.2, Y: 4948988.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC13,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,13,DOC 150 Double
"X: 1142887.6505, Y: 4948988.8079, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA13,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,13.1,A24
"X: 1142922.2, Y: 4948988.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC14,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Missing,,N/A,Stan Sally Gav,14,DOC 150 Double
"X: 1142922.4302, Y: 4948986.6242, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA14,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,14.1,A24
"X: 1142939.2, Y: 4948914.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DC15,Still Set,Still Set,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,Need KB,Stan Sally Gav,15,DOC 150 Double
"X: 1142938.3052, Y: 4948913.599, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCA15,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,15.1,A24
"X: 1142692.9, Y: 4949566.9, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR01,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,All DOC trap of DCR line needs KB,Stan Sally Gav,101,DOC 200 Single
"X: 1142692.7764, Y: 4949566.9443, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCRA01,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,Installed 12Aug2016,Stan Sally Gav,101.1,A24
"X: 1142681.8, Y: 4949613, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR02,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,102,DOC 200 Single
"X: 1142681.9285, Y: 4949613.2465, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCRA02,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,Installed 12Aug2016,Stan Sally Gav,102.1,A24
"X: 1142655.2, Y: 4949648.5, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR03,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,103,DOC 200 Single
"X: 1142654.9409, Y: 4949648.7007, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCRA03,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,Installed 12Aug2016,Stan Sally Gav,103.1,A24
"X: 1142675.7, Y: 4949691.2, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR04,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,104,DOC 200 Single
"X: 1142675.3139, Y: 4949691.5633, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCRA04,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,Installed 12Aug2016,Stan Sally Gav,104.1,A24
"X: 1142669.6, Y: 4949736.3, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR05,Stoat,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,105,DOC 200 Single
"X: 1142668.9639, Y: 4949736.5426, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCRA05,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,Installed 12Aug2016,Stan Sally Gav,105.1,A24
"X: 1142627.5, Y: 4949735.2, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR06,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,106,DOC 200 Single
"X: 1142627.1596, Y: 4949736.0134, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCRA06,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,Installed 12Aug2016,Stan Sally Gav,106.1,A24
"X: 1142620.6, Y: 4949687.1, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR07,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,107,DOC 200 Single
"X: 1142620.2805, Y: 4949687.5946, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCRA07,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,Installed 12Aug2016,Stan Sally Gav,107.1,A24
"X: 1142577.5, Y: 4949675, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR08,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,108,DOC 200 Single
"X: 1142577.4179, Y: 4949675.4237, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCRA08,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,Installed 12Aug2016,Stan Sally Gav,108.1,A24
"X: 1142559.5, Y: 4949634.9, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR09,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,109,DOC 200 Single
"X: 1142559.2888, Y: 4949637.5005, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCRA09,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,DCRA09-30 installed 8Dec2017 ,Stan Sally Gav,109.1,A24
"X: 1142544.6, Y: 4949589.8, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR10,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,110,DOC 200 Single
"X: 1142544.7367, Y: 4949595.167, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCRA10,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,110.1,A24
"X: 1142537.6, Y: 4949546.7, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR11,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,111,DOC 200 Single
"X: 1142534.1533, Y: 4949550.1878, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCRA11,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,111.1,A24
"X: 1142536.7, Y: 4949502.6, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR12,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,112,DOC 200 Single
"X: 1142534.1533, Y: 4949502.5627, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCRA12,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,112.1,A24
"X: 1142522.7, Y: 4949458.4, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR13,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,113,DOC 200 Single
"X: 1142519.6012, Y: 4949465.5209, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCRA13,0,N/A,2021-07-03T00:00:00.0000000,Autolure and Gas,2021-07-03T00:00:00.0000000,Missing,,Need new A24,Stan Sally Gav,113.1,A24
"X: 1142526.8, Y: 4949414.4, Z: NaN",DeepCove_WilmotPass,Deep Cove,DCR14,Still Set,N/A,2021-07-03T00:00:00.0000000,Erayz / Egg,2021-07-03T00:00:00.0000000,Open,,N/A,Stan Sally Gav,114,DOC 200 Single
