name, lat, lon,ele,time,desc,cmt,ACTION REQUIRED
BP03,-45.463407,167.154948,16.31744,2021-03-01 03:04:09+00:00,Line 1,DOC200,Change to DOC200Single
BP09,-45.463345,167.157482,41.744884,2021-03-01 02:44:38+00:00,Line 1,DOC200,Change to DOC200Single
BP12,-45.464227,167.157924,60.855202,2021-03-01 02:38:28+00:00,Line 1,DOC200,Change to DOC200Single
BP16,-45.464525,167.153943,41.437988,2021-03-01 03:41:06+00:00,Line 2,DOC200,Change to DOC200Single
BP19,-45.464769,167.155173,32.280613,2021-03-01 03:46:12+00:00,Line 2,DOC200,Change to DOC200Single
BP22,-45.464766,167.156253,37.034203,2021-03-01 03:51:36+00:00,Line 2,DOC200,Change to DOC200Single
BP23,-45.464722,167.156745,62.975327,2021-03-01 02:16:18+00:00,Line 4,DOC200,Change to DOC200Single
BP26,-45.464566,167.15772,70.594307,2021-03-01 02:29:47+00:00,Line 4,DOC200,Change to DOC200Single
BP27,-45.465423,167.153481,58.910099,2021-03-01 01:10:41+00:00,Line 3,DOC200,Change to DOC200Single
