geometry,Area,Line,Tag No,Trap 1,Trap 2,Date Checked,Baited With,Baited On,Status,Record Comment,Comment,User ID,Trap No,Trap Type
"X: 1204788.6054, Y: 5031266.1098, Z: NaN",Hollyford,AC_Possum,P27,Still Set,N/A,2021-06-19T23:10:27.0000000,Blaze Aniseed,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,27,Trapinator
"X: 1204760.113, Y: 5030874.5289, Z: NaN",Hollyford,AC_Possum,P28,Still Set,N/A,2021-06-19T23:10:28.0000000,Blaze Aniseed,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,28,Trapinator
"X: 1204552.598, Y: 5030677.5443, Z: NaN",Hollyford,AC_Possum,P29,Still Set,N/A,2021-06-19T23:10:29.0000000,Blaze Aniseed,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,29,Trapinator
"X: 1204802.4602, Y: 5030790.1638, Z: NaN",Hollyford,AC_Possum,P30,Still Set,N/A,2021-06-19T23:10:30.0000000,Blaze Aniseed,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,30,Trapinator
"X: 1205017.0438, Y: 5031554.8705, Z: NaN",Hollyford,Alpine Club,AC01,Still Set,N/A,2021-06-18T23:50:08.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,1,DOC 200 Single
"X: 1204945.9345, Y: 5031455.4252, Z: NaN",Hollyford,Alpine Club,AC02,Stoat,N/A,2021-06-18T23:50:07.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,2,DOC 200 Single
"X: 1204855.0509, Y: 5031395.2237, Z: NaN",Hollyford,Alpine Club,AC03,Sprung and Empty,N/A,2021-06-18T23:50:06.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,3,DOC 200 Single
"X: 1204789.0748, Y: 5031351.4413, Z: NaN",Hollyford,Alpine Club,AC04,Sprung and Empty,N/A,2021-06-18T23:50:06.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,4,DOC 200 Single
"X: 1204787.6273, Y: 5031263.931, Z: NaN",Hollyford,Alpine Club,AC05,Stoat,N/A,2021-06-18T23:50:05.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,5,DOC 200 Single
"X: 1204708.1496, Y: 5031127.6851, Z: NaN",Hollyford,Alpine Club,AC06,Still Set,N/A,2021-06-18T23:50:05.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,6,DOC 200 Single
"X: 1204666.6673, Y: 5030988.5358, Z: NaN",Hollyford,Alpine Club,AC07,Rat,N/A,2021-06-18T23:50:04.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,7,DOC 200 Single
"X: 1204655.2677, Y: 5030907.8836, Z: NaN",Hollyford,Alpine Club,AC08,Still Set,N/A,2021-06-18T23:50:04.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Missing,,N/A,David Cary,8,DOC 200 Single
"X: 1204699.8054, Y: 5030797.334, Z: NaN",Hollyford,Alpine Club,AC09,Still Set,N/A,2021-06-18T23:50:04.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,9,DOC 200 Single
"X: 1204632.2833, Y: 5030726.3846, Z: NaN",Hollyford,Alpine Club,AC10,Sprung and Empty,N/A,2021-06-18T23:50:03.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,10,DOC 200 Single
"X: 1204595.0786, Y: 5030732.011, Z: NaN",Hollyford,Alpine Club,AC11,Sprung and Empty,N/A,2021-06-18T23:50:03.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,11,DOC 200 Single
"X: 1204476.0516, Y: 5030754.4537, Z: NaN",Hollyford,Alpine Club,AC12,Rat,N/A,2021-06-19T20:14:33.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,12,DOC 200 Single
"X: 1204459.2484, Y: 5030824.7836, Z: NaN",Hollyford,Alpine Club,AC13,Still Set,N/A,2021-06-18T23:50:02.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,13,DOC 200 Single
"X: 1204390.1881, Y: 5030817.5191, Z: NaN",Hollyford,Alpine Club,AC14,Still Set,N/A,2021-06-18T23:50:02.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,14,DOC 200 Single
"X: 1204393.9576, Y: 5030405.059, Z: NaN",Hollyford,Alpine Club,AC15,Rat,N/A,2021-06-19T20:14:35.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,15,DOC 200 Single
"X: 1204103.1404, Y: 5031048.828, Z: NaN",Hollyford,Alpine Club,AC16,Rat,N/A,2021-06-20T00:00:00.0000000,Erayz / Egg,2021-06-20T00:00:00.0000000,Open,,N/A,Stanley,16,DOC 200 Single
"X: 1204540.4828, Y: 5030513.1054, Z: NaN",Hollyford,Alpine Club,AC17,Rat,N/A,2021-06-20T00:00:00.0000000,Erayz / Egg,2021-06-20T00:00:00.0000000,Open,,N/A,Stanley,17,DOC 200 Single
"X: 1205456.7566, Y: 5029254.159, Z: NaN",Hollyford,Alpine Club,AC18,Still Set,Still Set,2021-06-18T23:50:00.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Missing,,N/A,David Cary,18,DOC 150 Double
"X: 1205048.8321, Y: 5031607.6027, Z: NaN",Hollyford,Alpine Club,AC21,Still Set,Still Set,2021-06-18T23:44:52.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,21,DOC 150 Double
"X: 1205126.2722, Y: 5031649.272, Z: NaN",Hollyford,Alpine Club,AC22,Still Set,Still Set,2021-06-18T23:40:56.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,22,DOC 150 Double
"X: 1205248.8083, Y: 5031690.1434, Z: NaN",Hollyford,Alpine Club,AC23,Stoat,Still Set,2021-06-18T23:31:40.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,23,DOC 150 Double
"X: 1205335.2551, Y: 5031774.2875, Z: NaN",Hollyford,Alpine Club,AC24,Still Set,Still Set,2021-06-18T23:28:22.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,24,DOC 150 Double
"X: 1205419.9711, Y: 5031917.9868, Z: NaN",Hollyford,Alpine Club,AC25,Still Set,Still Set,2021-06-18T23:14:12.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,25,DOC 150 Double
"X: 1205489.2721, Y: 5032003.526, Z: NaN",Hollyford,Alpine Club,AC26,Still Set,Still Set,2021-06-18T23:17:01.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,26,DOC 150 Double
"X: 1205520.2413, Y: 5032089.5501, Z: NaN",Hollyford,Alpine Club,AC27,Still Set,Still Set,2021-06-18T23:07:17.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,27,DOC 150 Double
"X: 1205627.9744, Y: 5032469.7682, Z: NaN",Hollyford,Alpine Club,AC28,Still Set,Still Set,2021-06-18T22:48:31.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,28,DOC 150 Double
"X: 1205600.374, Y: 5032511.6724, Z: NaN",Hollyford,Alpine Club,AC29,Still Set,Still Set,2021-06-18T22:43:19.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,29,DOC 150 Double
"X: 1205657.9861, Y: 5032665.6279, Z: NaN",Hollyford,Alpine Club,AC30,Still Set,Still Set,2021-06-18T22:33:18.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,30,DOC 150 Double
"X: 1203435.6775, Y: 5031086.0411, Z: NaN",Hollyford,Alpine Club,AC31,Still Set,Still Set,2021-06-19T01:56:53.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,foam added 1 side only,N/A,David Cary,31,DOC 150 Double
"X: 1203409.3137, Y: 5031138.6069, Z: NaN",Hollyford,Alpine Club,AC32,Still Set,Still Set,2021-06-19T02:14:43.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,foam added 1 side only,N/A,David Cary,32,DOC 150 Double
"X: 1203359.2993, Y: 5031186.9245, Z: NaN",Hollyford,Alpine Club,AC33,Still Set,Still Set,2021-06-19T03:04:58.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,foam 1 side,N/A,David Cary,33,DOC 150 Double
"X: 1203320.3838, Y: 5031266.4809, Z: NaN",Hollyford,Alpine Club,AC34,Rat,Rat,2021-06-19T03:04:58.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,foam 1 side only,N/A,David Cary,34,DOC 150 Double
"X: 1203323.5958, Y: 5031327.6751, Z: NaN",Hollyford,Alpine Club,AC35,Still Set,Still Set,2021-06-19T03:04:57.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,35,DOC 150 Double
"X: 1203340.118, Y: 5031389.4682, Z: NaN",Hollyford,Alpine Club,AC36,Rat,Still Set,2021-06-19T03:04:57.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,36,DOC 150 Double
"X: 1203298.7774, Y: 5031425.9436, Z: NaN",Hollyford,Alpine Club,AC37,Still Set,Still Set,2021-06-19T03:04:56.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,37,DOC 150 Double
"X: 1203204.4701, Y: 5031513.4525, Z: NaN",Hollyford,Alpine Club,AC38,Still Set,Still Set,2021-06-19T02:40:08.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,38,DOC 150 Double
"X: 1203179.2804, Y: 5031528.9574, Z: NaN",Hollyford,Alpine Club,AC39,Still Set,Still Set,2021-06-19T02:44:05.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,39,DOC 150 Double
"X: 1203134.27, Y: 5031546.3601, Z: NaN",Hollyford,Alpine Club,AC40,Still Set,Still Set,2021-06-19T02:48:57.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,40,DOC 150 Double
"X: 1203082.7312, Y: 5031558.1702, Z: NaN",Hollyford,Alpine Club,AC41,Sprung and Empty,N/A,2021-06-19T02:54:35.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,41,DOC 200 Single
"X: 1202995.0352, Y: 5031552.1411, Z: NaN",Hollyford,Alpine Club,AC43,Still Set,N/A,2021-06-19T03:04:38.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,43,DOC 200 Single
"X: 1205611.9549, Y: 5032781.6862, Z: NaN",Hollyford,Alpine Club,AC60,Still Set,N/A,2021-06-18T22:25:03.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,60,DOC 200 Single
"X: 1205751.798, Y: 5032781.3274, Z: NaN",Hollyford,Alpine Club,AC61,Still Set,N/A,2021-06-18T21:57:55.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,61,DOC 200 Single
"X: 1205886.8445, Y: 5032739.1001, Z: NaN",Hollyford,Alpine Club,AC62,Still Set,N/A,2021-06-18T22:04:57.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,62,DOC 200 Single
"X: 1203626.6967, Y: 5031228.2983, Z: NaN",Hollyford,Alpine Club,AC70,Still Set,Still Set,2021-06-19T03:04:45.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,70,DOC 200 Double
"X: 1203693.541, Y: 5031189.1576, Z: NaN",Hollyford,Alpine Club,AC71,Still Set,N/A,2021-06-19T03:04:46.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,71,DOC 200 Single
"X: 1203815.9412, Y: 5031033.6829, Z: NaN",Hollyford,Alpine Club,AC72,Rat,N/A,2021-06-19T23:32:01.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,double doc200,N/A,David Cary,72,DOC 200 Single
"X: 1204751.4513, Y: 5030690.0094, Z: NaN",Hollyford,Alpine Club,AC81,Still Set,Still Set,2021-06-19T03:05:34.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,Could not find,David Cary,81,DOC 200 Double
"X: 1204873.7168, Y: 5030825.4846, Z: NaN",Hollyford,Alpine Club,AC82,Rat,Still Set,2021-06-19T22:57:47.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,N/A,David Cary,82,DOC 200 Double
"X: 1204888.9158, Y: 5030885.5766, Z: NaN",Hollyford,Alpine Club,AC83,Rat,Still Set,2021-06-20T00:00:00.0000000,Erayz / Egg,2021-06-20T00:00:00.0000000,Open,,N/A,David Cary,83,DOC 200 Double
"X: 1204544.2494, Y: 5030741.4725, Z: NaN",Hollyford,Alpine Club,AC87,Rat,Still Set,2021-06-19T00:33:15.0000000,Erayz / Egg,2021-05-01T00:00:00.0000000,Open,,Homer woodshed,David Cary,87,DOC 200 Double
